查詢區間:114年01月01日~114年05月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"嘉義縣新港鄉","海瀛村過港社區","2025-02-13 07:19:33 		                  			 ~  		                  				2025-02-13 20:39:54","800","10.00"
"嘉義縣太保市","魚寮保安宮三山國王","2025-02-08 14:36:12 		                  			 ~  		                  				2025-02-08 14:53:08","17","10.00"
"雲林縣斗南鎮","東仁里川和食品","2025-02-07 11:58:00 		                  			 ~  		                  				2025-02-07 12:21:26","23","10.00"
"新竹市東區","花園街地下道","2025-01-27 03:16:04 		                  			 ~  		                  				2025-01-27 03:46:08","30","10.00"
"嘉義縣大林鎮","中林里樊厝社區","2025-01-21 16:18:35 		                  			 ~  		                  				2025-01-21 17:25:50","67","12.00"
"嘉義縣民雄鄉","東榮村魚寮社區","2025-01-21 15:45:13 		                  			 ~  		                  				2025-01-21 16:55:50","70","18.00"
"嘉義縣水上鄉","溪洲村外溪洲社區","2025-01-21 14:58:31 		                  			 ~  		                  				2025-01-21 16:05:50","67","16.00"
"嘉義縣東石鄉","鰲鼓村四股社區","2025-01-21 12:59:25 		                  			 ~  		                  				2025-01-21 14:15:50","76","16.00"
"嘉義縣東石鄉","港墘村東石鄉港墘村","2025-01-21 12:29:39 		                  			 ~  		                  				2025-01-21 13:35:50","66","17.00"
"嘉義縣義竹鄉","新店村99號旁","2025-01-21 11:21:45 		                  			 ~  		                  				2025-01-21 12:25:49","64","16.00"
"嘉義縣六腳鄉","三義村三姓寮代天府","2025-01-02 00:38:37 		                  			 ~  		                  				2025-01-02 00:50:37","12","10.00"
