項次編號,評分等級,認定項目,行政區編號,地址,場所名稱,latitude,longitude,行政區
218,1,9,63000090,三重路19號,南港經貿園區,24.91074040820465,121.00651028990458,南港區
219,2,2,63000090,中南街134巷內,老舊社區,25.053468044450984,121.61396683868077,南港區
220,2,9,63000090,研究院路3段161巷3號,六韜瓦斯分裝場,25.030819477818337,121.61222787537628,南港區
221,1,9,63000090,經貿二路1號,台北世貿南港展覽館,25.05644517780173,121.61537637537711,南港區
222,2,9,63000090,研究院路1段99號,太陽大帝住商大廈,25.05226697780457,121.6138085753771,南港區
223,1,9,63000090,南港區研究院路2段128號內之(化學研究所) ,中央研究院,25.042441161243282,121.60910199281396,南港區
224,2,6,63000090,研究院路1段1號,捷運南港展覽館站,25.048839961226715,121.60792789281474,南港區
225,1,4,63000090,園區街3號,南港軟體工業園區第二期大樓,25.058486077800517,121.60930757537756,南港區
226,1,9,63000090,三重路66號,南港軟體工業園區第三期大樓,24.91117290358673,121.00770664016443,南港區
227,1,9,63000090,南港路1段313、315號,南港火車站及高鐵站,25.052991177804106,121.60452147537706,南港區
228,1,9,63000090,忠孝東路7段359~369號,南港車站辦公大樓、潤泰南港車站商場及六福萬怡酒店,25.05251237780439,121.60348087537709,南港區
229,1,9,63000090,經貿二路2號,南港展覽館二館,25.056317477801855,121.61325547537712,南港區
230,2,7,63000090,研究院路1段101巷10號,大哲悅社區停車塔,25.051775377804866,121.61404297537709,南港區
231,2,4,63000100,內湖路2段103巷16號,勤美璞真碧湖畔,25.0802003277865,121.579677725378,內湖區
232,2,4,63000100,成功路4段178至180號,雙湖匯大樓,25.083424677784407,121.5911531753782,內湖區
233,2,4,63000100,內湖路3段72巷61號,森之林大廈,25.08872717778094,121.58818117537821,內湖區
234,2,4,63000100,星雲街168巷29至43號,力霸國鼎大廈,25.079972277786606,121.59448567537801,內湖區
235,2,4,63000100,星雲街150巷26至32號,大成大賞公寓大廈,25.079508677786876,121.59363517537798,內湖區
236,2,4,63000100,成功路2段365號,現代米羅大廈,25.03439482066448,121.51718570183414,內湖區
237,2,4,63000100,瑞光路392號,光寶科技大樓,25.077895777787983,121.56854537537794,內湖區
238,2,5,63000100,成功路2段325號,三軍總醫院,25.033931568073292,121.29224301358975,內湖區
239,2,5,63000100,成功路3段88、90號2樓及76巷9號2樓,臺北市私立瑞安老人養護所,25.019753768301577,121.4261335445545,內湖區
240,2,5,63000100,成功路2段488號2.3樓及490號2樓,臺北市私立銀髮族老人養護所,25.073975244644597,121.57372425387672,內湖區
241,2,8,63000100,新湖三路23號,特力屋廣場,25.062152577798134,121.57166577537744,內湖區
242,2,8,63000100,舊宗路1段128號,宜家家居股份有限公司-內湖分公司,25.06095077779899,121.57546897537736,內湖區
243,2,8,63000100,舊宗路1段268號,好市多大賣場,25.063863277796955,121.5733051753774,內湖區
244,2,8,63000100,舊宗路1段188號,大潤發大賣場二館,25.06230687779806,121.5731338753775,內湖區
245,2,8,63000100,堤頂大道1段331號,燦坤3C賣場,25.062783377797686,121.57037507537744,內湖區
246,2,9,63000100,民權東路6段180巷42弄6號,婦幼家園,25.06734617779475,121.58997987537751,內湖區
247,2,4,63000100,民權東路6段296巷76、82至90號,大湖亭閣,25.069234277793544,121.60796517537757,內湖區
248,2,5,63000100,民權東路6段280巷19弄1至7號1樓,臺北市私立童音老人養護所,25.071745377791945,121.60257627537781,內湖區
249,2,5,63000100,陽光街72-1號1樓,私立文德老人養護所,25.076207977789075,121.5835870753778,內湖區
250,2,5,63000100,成功路5段420巷26-28號,康寧醫院,25.07586127778929,121.60635582537789,內湖區
251,2,8,63000100,民善街88號,家樂福大賣場,25.059146377800122,121.57177797537729,內湖區
252,2,8,63000100,民善街205號,禮客時尚館,25.064102077796903,121.57219107537755,內湖區
253,2,4,63000100,堤頂大道路2段235-241號,精英大樓,25.078132677787757,121.56452937537789,內湖區
254,2,4,63000100,金湖路79號,輝煌世紀,23.97552730403321,112.71561262571981,內湖區
255,2,9,63000100,成功路4段32號至58號、成功路4段30巷7號至21號及47號至53號,宏泰巨星,25.080986328270463,121.5646394806504,內湖區
256,2,5,63000100,內湖路2段360號,中國醫藥大學附設臺北分院,25.08214597778523,121.5881578753781,內湖區
257,2,5,63000100,內湖路2段253巷1弄3號B1至2樓,臺北市私立祥家老人養護所,25.077258678424812,121.56104978064262,內湖區
258,2,9,63000100,內湖路1段256號,捷運內湖線西湖站,25.083494677784376,121.56910677537813,內湖區
