項次編號,評分等級,認定項目,行政區編號,地址,場所名稱,Latitude,Longitude
242,2,8,內湖區,舊宗路1段128號,宜家家居股份有限公司-內湖分公司,25.06095078,121.57546898
243,2,8,內湖區,舊宗路1段268號,好市多大賣場,25.06386328,121.57330518
244,2,8,內湖區,舊宗路1段188號,大潤發大賣場二館,25.06230688,121.57313388
245,2,8,內湖區,堤頂大道1段331號,燦坤3C賣場,25.06278338,121.57037508
246,2,9,內湖區,民權東路6段180巷42弄6號,婦幼家園,25.06734618,121.58997988
247,2,4,內湖區,民權東路6段296巷76、82至90號,大湖亭閣,25.06923428,121.60796518
248,2,5,內湖區,民權東路6段280巷19弄1至7號1樓,臺北市私立童音老人養護所,25.07174538,121.60257628
249,2,5,內湖區,陽光街72-1號1樓,私立文德老人養護所,25.07644098,121.58368808
250,2,5,內湖區,成功路5段420巷26-28號,康寧醫院,25.07586128,121.60635583
251,2,8,內湖區,民善街88號,家樂福大賣場,25.06031638,121.57259958
252,2,8,內湖區,民善街205號,禮客時尚館,25.06427238,121.57218278
253,2,4,內湖區,堤頂大道路2段235-241號,精英大樓,25.07813268,121.56452938
254,2,4,內湖區,金湖路79號,輝煌世紀,25.08143928,121.59426898
255,2,9,內湖區,成功路4段32號至58號、成功路4段30巷7號至21號及47號至53號,宏泰巨星,25.08210431,121.58741629
256,2,5,內湖區,內湖路2段360號,中國醫藥大學附設臺北分院,25.08214598,121.58815788
257,2,5,內湖區,內湖路2段253巷1弄3號B1至2樓,臺北市私立祥家老人養護所,25.07772278,121.56521338
258,2,9,內湖區,內湖路1段256號,捷運內湖線西湖站,25.08292533,121.55416933
259,2,9,內湖區,內湖路1段663號,捷運內湖線港漧站,25.08106353,121.56044533
260,2,9,內湖區,文德路214號,捷運內湖線文德站,25.07846788,121.58212328
261,2,9,內湖區,成功路4段143號,捷運內湖線內湖站,25.08285458,121.59112348
262,2,9,內湖區,成功路5段11號,捷運內湖線大湖公園站,25.08359538,121.59971848
263,2,9,內湖區,康寧路3段16號,捷運內湖線葫洲站,25.07252678,121.60476578
264,2,9,內湖區,康寧路3段235號,捷運內湖線東湖站,25.06712588,121.60914318
265,2,5,內湖區,金龍路136-1號B2-6樓,金龍發展中心,25.08576478,121.58748408
266,2,9,內湖區,星雲街16巷63號至69號,馬蒂斯小丘社區,25.07908856,121.58924124
