項次編號,評分等級,認定項目,行政區編號,地址,場所名稱
182,2,8,63000020,松高路19號,新光三越百貨公司A4館
183,2,4,63000020,松高路9、11號,統一國際大樓
184,2,9,63000020,信義路4段375號,玫瑰欣欣大樓
185,2,9,63000020,基隆路2段22號,惠安大樓
186,2,9,63000020,基隆路1段432號,雙雄世貿大樓
187,2,9,63000020,基隆路2段109號B1,好樂迪KTV
188,2,4,63000020,松智路1號,華新麗華大樓
189,2,8,63000020,松仁路28號,震怡股份有限公司
190,1,8,63000020,松壽路22號,NEO19
191,2,4,63000020,信義路5段95號,冠德遠見大樓
192,2,4,63000020,信義路5段91巷2號,寶徠花園廣場社區
193,2,8,63000020,松壽路9號,新光三越A9館
194,1,4,63000020,忠孝東路5段10號,時代飯店
195,2,9,63000020,信義路5段(松仁路至松德路段),信義車行地下道
196,1,4,63000020,松高路16、18號,富邦信義商旅大樓(含寒舍國際酒店股份有限公司及微風置地股份有限公司松高分公司)
197,2,9,63000020,逸仙路26巷1號B1,收多易股份有限公司
198,2,4,63000020,松勇路69巷2號,臺北信義社區
199,2,7,63000020,富陽街57號,名人居-停車塔
200,2,4,63000020,松仁路123號,華南銀行總行大樓
201,2,4,63000020,松高路1號,遠雄金融中心
202,2,7,63000020,忠孝東路5段15巷15號,筌壹企業股份有限公司停車場(停車塔)
203,2,7,63000020,光復南路439號,仁愛PAGE 1大樓(停車塔)
204,2,7,63000020,信義路4段450巷1號,愛馬屋101場(停車塔)
205,2,4,63000020,松勇路53巷21號,文心信義大樓
206,2,4,63000020,松智路17號,南山人壽保險股份有限公司(南山廣場)
207,2,4,63000020,忠孝東路5段68號,國泰置地廣場暨信義微風百貨
208,2,8,63000020,松仁路58號,遠東百貨A13
209,2,4,63000020,松高路77號,富邦信義大樓A棟
210,2,9,63000020,松壽路12號10樓,唯優餐飲有限公司
211,2,9,63000020,松壽路22號B1樓,樂三實業股份有限公司(UNDERLINK)
212,1,9,63000020,忠孝東路4段515號,臺北文化體育園區
213,2,4,63000090,南港路3段47巷55號,潤泰玉成總部辦公大樓
214,2,9,63000090,中南街1號2樓,中南街1號2樓
215,1,6,63000090,忠孝東路7段380號,捷運板南線南港站
216,1,5,63000090,同德路87號,忠孝醫院
217,2,9,63000090,南港路1段32號,捷運文湖線南港展覽館站
218,1,9,63000090,三重路19號,南港經貿園區
219,2,2,63000090,中南街134巷內,老舊社區
220,2,9,63000090,研究院路3段161巷3號,六韜瓦斯分裝場
221,1,9,63000090,經貿二路1號,台北世貿南港展覽館
222,2,9,63000090,研究院路1段99號,太陽大帝住商大廈
223,1,9,63000090,南港區研究院路2段128號內之(化學研究所) ,中央研究院
224,2,6,63000090,研究院路1段1號,捷運南港展覽館站
225,1,4,63000090,園區街3號,南港軟體工業園區第二期大樓
226,1,9,63000090,三重路66號,南港軟體工業園區第三期大樓
227,1,9,63000090,南港路1段313、315號,南港火車站及高鐵站
228,1,9,63000090,忠孝東路7段359~369號,南港車站辦公大樓、潤泰南港車站商場及六福萬怡酒店
229,1,9,63000090,經貿二路2號,南港展覽館二館
230,2,7,63000090,研究院路1段101巷10號,大哲悅社區停車塔
231,2,4,63000100,內湖路2段103巷16號,勤美璞真碧湖畔
232,2,4,63000100,成功路4段178至180號,雙湖匯大樓
233,2,4,63000100,內湖路3段72巷61號,森之林大廈
234,2,4,63000100,星雲街168巷29至43號,力霸國鼎大廈
235,2,4,63000100,星雲街150巷26至32號,大成大賞公寓大廈
236,2,4,63000100,成功路2段365號,現代米羅大廈
237,2,4,63000100,瑞光路392號,光寶科技大樓
238,2,5,63000100,成功路2段325號,三軍總醫院
239,2,5,63000100,成功路3段88、90號2樓及76巷9號2樓,臺北市私立瑞安老人養護所
240,2,5,63000100,成功路2段488號2.3樓及490號2樓,臺北市私立銀髮族老人養護所
241,2,8,63000100,新湖三路23號,特力屋廣場
242,2,8,63000100,舊宗路1段128號,宜家家居股份有限公司-內湖分公司
243,2,8,63000100,舊宗路1段268號,好市多大賣場
244,2,8,63000100,舊宗路1段188號,大潤發大賣場二館
245,2,8,63000100,堤頂大道1段331號,燦坤3C賣場
246,2,9,63000100,民權東路6段180巷42弄6號,婦幼家園
247,2,4,63000100,民權東路6段296巷76、82至90號,大湖亭閣
248,2,5,63000100,民權東路6段280巷19弄1至7號1樓,臺北市私立童音老人養護所
249,2,5,63000100,陽光街72-1號1樓,私立文德老人養護所
250,2,5,63000100,成功路5段420巷26-28號,康寧醫院
251,2,8,63000100,民善街88號,家樂福大賣場
252,2,8,63000100,民善街205號,禮客時尚館
253,2,4,63000100,堤頂大道路2段235-241號,精英大樓
254,2,4,63000100,金湖路79號,輝煌世紀
255,2,9,63000100,成功路4段32號至58號、成功路4段30巷7號至21號及47號至53號,宏泰巨星
256,2,5,63000100,內湖路2段360號,中國醫藥大學附設臺北分院
257,2,5,63000100,內湖路2段253巷1弄3號B1至2樓,臺北市私立祥家老人養護所
