項次編號,評分等級,認定項目,行政區編號,地址,場所名稱,latitude,longitude
165,2,5,63000020,信義路6段15巷16號1樓,臺北市私立康庭老人養護所,34.98868348,137.17707059
166,2,5,63000020,中坡北路21號1-2樓、23號2樓,臺北市私立倚青苑老人養護所,25.04489400659,121.580791008464
167,2,5,63000020,松隆路36號6樓,恆愛發展中心,25.043462000342,121.567580961421
168,1,9,63000020,松山路11號,松山火車站暨潤泰百益股份有限公司,25.048455980163,121.578251962354
169,1,5,63000020,松德路309號,臺北市立療養院,,
170,2,9,63000020,菸廠路88號,松山菸廠-誠品生活股份有限公司松山分公司,25.044738019372,121.561108958703
171,2,6,63000020,忠孝東路4段400號,捷運板南線國父紀念館站,25.04113438774,121.557900533806
172,2,6,63000020,忠孝東路5段、虎林街口(忠孝東路5段455號),捷運板南線永春站,,
173,1,6,63000020,忠孝東路5段、基隆路口,捷運板南線市政府站,,
174,1,8,63000020,忠孝東路5段297號,"七品餐坊七品餐坊
(含KTV SING!GO)",25.041146709137,121.572849406662
175,2,8,63000020,松壽路11號,新光三越百貨公司A11館,25.036023983283,121.567235962286
176,2,8,63000020,松高路12號,新光三越百貨公司A8館,25.038813019655,121.566799013674
177,1,8,63000020,松壽路12號,"ATT 4 FUN
(含KTV SING!GO)",25.035689000523,121.565997033178
178,1,9,63000020,信義路5段1號,臺北國際會議中心,25.033179081526,121.560848532971
179,1,9,63000020,信義路5段5號,世貿展覽中心,25.033182979111,121.562327016873
180,2,9,63000020,吳興街600巷,吳興街狹小巷道,,
181,2,9,63000020,信義路5段,信義快速道路(象山隧道),25.032811724481,121.567192348262
182,2,8,63000020,松高路19號,新光三越百貨公司A4館,25.039359016828,121.56666599287
183,2,4,63000020,松高路9、11號,統一國際大樓,,
184,2,9,63000020,信義路4段375號,玫瑰欣欣大樓,25.033358999078,121.557806991766
185,2,9,63000020,基隆路2段22號,惠安大樓,25.031936296742,121.558728330563
186,2,9,63000020,基隆路1段432號,雙雄世貿大樓,25.033701986556,121.55968001185
187,2,9,63000020,基隆路2段109號B1,好樂迪KTV,25.02901398811,121.557390997912
188,2,4,63000020,松智路1號,華新麗華大樓,25.038774714358,121.566081941857
189,2,8,63000020,松仁路28號,震怡股份有限公司,,
190,1,8,63000020,松壽路22號,NEO19,25.03556540936,121.56773426643
191,2,4,63000020,信義路5段95號,冠德遠見大樓,25.033161186163,121.572013479458
192,2,4,63000020,信義路5段91巷2號,寶徠花園廣場社區,25.032926395932,121.571467408302
193,2,8,63000020,松壽路9號,新光三越A9館,25.036029012425,121.566647971778
194,1,4,63000020,忠孝東路5段10號,時代飯店,25.040689979233,121.566010025128
195,2,9,63000020,信義路5段(松仁路至松德路段),信義車行地下道,25.039292003512,121.577696996544
196,1,4,63000020,松高路16、18號,富邦信義商旅大樓(含寒舍國際酒店股份有限公司及微風置地股份有限公司松高分公司),,
197,2,9,63000020,逸仙路26巷1號B1,收多易股份有限公司,,
198,2,4,63000020,松勇路69巷2號,臺北信義社區,,
199,2,7,63000020,富陽街57號,名人居-停車塔,25.022174983761,121.556515005211
200,2,4,63000020,松仁路123號,華南銀行總行大樓,,
201,2,4,63000020,松高路1號,遠雄金融中心,25.039542999603,121.563946987299
202,2,7,63000020,忠孝東路5段15巷15號,筌壹企業股份有限公司停車場(停車塔),25.041521003024,121.564995982482
203,2,7,63000020,光復南路439號,仁愛PAGE 1大樓(停車塔),25.035663980542,121.557684029247
204,2,7,63000020,信義路4段450巷1號,愛馬屋101場(停車塔),34.98868348,137.17707059
205,2,4,63000020,松勇路53巷21號,文心信義大樓,,
206,2,4,63000020,松智路17號,南山人壽保險股份有限公司(南山廣場),25.034570519363,121.565939784779
207,2,4,63000020,忠孝東路5段68號,國泰置地廣場暨信義微風百貨,25.040647902079,121.566693904608
208,2,8,63000020,松仁路58號,遠東百貨A13,,
209,2,4,63000020,松高路77號,富邦信義大樓A棟,25.039205247516,121.56648045605
210,2,9,63000020,松壽路12號10樓,唯優餐飲有限公司,25.035689000523,121.565997033178
211,2,9,63000020,松壽路22號B1樓,樂三實業股份有限公司(UNDERLINK),25.03556540936,121.56773426643
212,1,9,63000020,忠孝東路4段515號,臺北文化體育園區,25.041892991886,121.545321979348
213,2,4,63000090,南港路3段47巷55號,潤泰玉成總部辦公大樓,,
214,2,9,63000090,中南街1號2樓,中南街1號2樓,24.801449004934,120.967771970186
215,1,6,63000090,忠孝東路7段380號,捷運板南線南港站,25.051856183005,121.606525965783
216,1,5,63000090,同德路87號,忠孝醫院,25.046511001441,121.586152995744
217,2,9,63000090,南港路1段32號,捷運文湖線南港展覽館站,25.055314011432,121.617606003591
218,1,9,63000090,三重路19號,南港經貿園區,24.765606017208,121.058986019836
219,2,2,63000090,中南街134巷內,老舊社區,35.18810364,135.46971011
220,2,9,63000090,研究院路3段161巷3號,六韜瓦斯分裝場,25.033910527586,121.613429454374
221,1,9,63000090,經貿二路1號,台北世貿南港展覽館,25.056358983301,121.617326970034
222,2,9,63000090,研究院路1段99號,太陽大帝住商大廈,25.052304908192,121.61637160071
223,1,9,63000090,南港區研究院路2段128號內之(化學研究所) ,中央研究院,25.042019600534,121.616663458579
224,2,6,63000090,研究院路1段1號,捷運南港展覽館站,25.054857910171,121.61683042609
225,1,4,63000090,園區街3號,南港軟體工業園區第二期大樓,25.058478515157,121.611986691883
226,1,9,63000090,三重路66號,南港軟體工業園區第三期大樓,25.057241010972,121.614385005838
227,1,9,63000090,南港路1段313、315號,南港火車站及高鐵站,,
228,1,9,63000090,忠孝東路7段359~369號,南港車站辦公大樓、潤泰南港車站商場及六福萬怡酒店,,
229,1,9,63000090,經貿二路2號,南港展覽館二館,24.188434995799,120.662094019662
230,2,7,63000090,研究院路1段101巷10號,大哲悅社區停車塔,,
231,2,4,63000100,內湖路2段103巷16號,勤美璞真碧湖畔,,
232,2,4,63000100,成功路4段178至180號,雙湖匯大樓,,
233,2,4,63000100,內湖路3段72巷61號,森之林大廈,,
234,2,4,63000100,星雲街168巷29至43號,力霸國鼎大廈,,
235,2,4,63000100,星雲街150巷26至32號,大成大賞公寓大廈,,
236,2,4,63000100,成功路2段365號,現代米羅大廈,25.073683999979,121.590119982879
237,2,4,63000100,瑞光路392號,光寶科技大樓,34.75194575,135.54322999
238,2,5,63000100,成功路2段325號,三軍總醫院,25.07092501273,121.590532959248
239,2,5,63000100,成功路3段88、90號2樓及76巷9號2樓,臺北市私立瑞安老人養護所,,
240,2,5,63000100,成功路2段488號2.3樓及490號2樓,臺北市私立銀髮族老人養護所,25.073275005013,121.589704994853
241,2,8,63000100,新湖三路23號,特力屋廣場,25.062029005523,121.574170981336
242,2,8,63000100,舊宗路1段128號,宜家家居股份有限公司-內湖分公司,25.060962995077,121.578320526322
243,2,8,63000100,舊宗路1段268號,好市多大賣場,25.063985383634,121.576115079958
244,2,8,63000100,舊宗路1段188號,大潤發大賣場二館,25.062884001556,121.576944972191
245,2,8,63000100,堤頂大道1段331號,燦坤3C賣場,25.06270798159,121.572944038349
246,2,9,63000100,民權東路6段180巷42弄6號,婦幼家園,,
247,2,4,63000100,民權東路6段296巷76、82至90號,大湖亭閣,,
248,2,5,63000100,民權東路6段280巷19弄1至7號1樓,臺北市私立童音老人養護所,,
249,2,5,63000100,陽光街72-1號1樓,私立文德老人養護所,,
250,2,5,63000100,成功路5段420巷26-28號,康寧醫院,,
251,2,8,63000100,民善街88號,家樂福大賣場,25.060040985728,121.575388033677
252,2,8,63000100,民善街205號,禮客時尚館,,
253,2,4,63000100,堤頂大道路2段235-241號,精英大樓,,
254,2,4,63000100,金湖路79號,輝煌世紀,25.081439397801,121.596844029425
255,2,9,63000100,成功路4段32號至58號、成功路4段30巷7號至21號及47號至53號,宏泰巨星,25.081711013374,121.591655966636
256,2,5,63000100,內湖路2段360號,中國醫藥大學附設臺北分院,25.082078015004,121.590630021687
257,2,5,63000100,內湖路2段253巷1弄3號B1至2樓,臺北市私立祥家老人養護所,,
258,2,9,63000100,內湖路1段256號,捷運內湖線西湖站,25.081982000303,121.567292959228
259,2,9,63000100,內湖路1段663號,捷運內湖線港漧站,25.080146279689,121.575649800513
260,2,9,63000100,文德路214號,捷運內湖線文德站,,
261,2,9,63000100,成功路4段143號,捷運內湖線內湖站,25.082803007719,121.593619008359
262,2,9,63000100,成功路5段11號,捷運內湖線大湖公園站,25.083322979083,121.602623016388
