data_time,行政區,位置,淹水期間,淹水時間(分鐘),最高淹水深度(公分),Latitude,Longitude
2021-06-04 16:56:18+08,五股區,疏洪八路/疏洪一路交叉路口,2021-06-04 16:56:18~2021-06-04 17:06:18,10.0,27.00,25.07087688,121.45593708
2021-06-04 16:17:00+08,新莊區,新莊區新莊高中,2021-06-04 16:17:00~2021-06-04 18:00:00,103.0,0,25.04822598,121.44196528
2021-06-04 15:34:00+08,樹林區,樹林區中華路與中山路二段 中山地下道,2021-06-04 15:34:00~2021-06-04 16:50:00,76.0,0,24.98173273,121.40831798
2021-06-04 15:30:32+08,泰山區,新北大道五段、民生路口,2021-06-04 15:30:32~2021-06-04 16:05:32,35.0,29.00,25.03771482,121.4086924
2021-06-04 15:29:39+08,樹林區,學勤路/佳園路三段街口,2021-06-04 15:29:39~2021-06-04 15:44:39,15.0,14.00,24.94804918,121.38250048
2021-06-04 15:19:11+08,板橋區,大觀路一段(車行地下道),2021-06-04 15:19:11~2021-06-04 16:47:12,88.0,42.00,25.00589678,121.44488518
2021-06-04 14:59:31+08,土城區,金城路二段46巷18-9號,2021-06-04 14:59:31~2021-06-04 15:55:31,56.0,21.00,24.97698578,121.44944168
2021-06-04 14:59:27+08,樹林區,大義路189號,2021-06-04 14:59:27~2021-06-04 15:07:27,8.0,42.00,24.94528728,121.37532318
2021-06-04 14:58:38+08,三峽區,三峽區大學路151號,2021-06-04 14:58:38~2021-06-04 15:08:38,10.0,31.00,24.94242921,121.36346484
2021-06-04 14:58:32+08,中和區,民享街86巷2號,2021-06-04 14:58:32~2021-06-04 15:19:32,21.0,13.00,25.00107338,121.47180228
2021-06-04 14:49:46+08,永和區,林森路132號,2021-06-04 14:49:46~2021-06-04 15:08:46,19.0,12.00,25.02723078,121.50291638
2021-06-04 14:39:00+08,板橋區,新北市板橋區板城路858號,2021-06-04 14:39:00~2021-06-04 17:00:00,141.0,165.00,24.99435948,121.44395228
2021-06-04 14:37:38+08,板橋區,中山路與漢生東路口,2021-06-04 14:37:38~2021-06-04 15:55:39,78.0,35.00,25.01975909,121.45703355
2021-06-04 14:12:00+08,汐止區,汐止區大同路一段98號,2021-06-04 14:12:00~2021-06-04 14:40:00,28.0,0,25.05402448,121.62685008
2021-06-04 14:01:00+08,汐止區,汐止區新北市汐止區大同路一段120號,2021-06-04 14:01:00~2021-06-04 16:20:00,139.0,40.00,25.05466268,121.62843248
2021-06-04 14:01:00+08,汐止區,汐止區新北市汐止區福德一路392巷22弄26號,2021-06-04 14:01:00~2021-06-04 16:20:00,139.0,50.00,25.06174848,121.62535008
2021-06-04 13:38:03+08,汐止區,南陽街車行地下道,2021-06-04 13:38:03~2021-06-04 14:18:03,40.0,143.00,25.01975909,121.45703355
2021-06-04 13:37:36+08,永和區,國光路35號,2021-06-04 13:37:36~2021-06-04 13:42:36,5.0,16.00,25.01810838,121.45661128
2021-06-04 13:18:17+08,新店區,北新路三段203巷,2021-06-04 13:18:17~2021-06-04 13:38:17,20.0,17.00,24.98458668,121.53789748
2021-06-04 13:17:35+08,新店區,安和路二段137號,2021-06-04 13:17:35~2021-06-04 13:35:35,18.0,25.00,25.00301078,121.4949351
2021-06-04 12:56:00+08,新店區,新店區新北市新店區永業路2號,2021-06-04 12:56:00~2021-06-04 16:20:00,204.0,50.00,24.95591138,121.53063868
2021-05-24 15:40:00+08,汐止區,新北市汐止區青山路,2021-05-24 15:40:00~2021-05-24 18:00:00,140.0,10.00,25.06195438,121.65359628
2021-05-24 15:30:00+08,汐止區,新北市汐止區中興路涵洞,2021-05-24 15:30:00~2021-05-24 18:00:00,150.0,20.00,25.06500228,121.63045368
2022-10-17 11:14:00+08,汐止區,汐止區吉林街24巷,2022-10-17 11:14:00~2022-10-17 15:20:00,246.0,0,25.06476818,121.61688948
2022-10-16 22:36:00+08,泰山區,泰山區楓江路143巷10號,2022-10-16 22:36:00~2022-10-17 00:00:00,84.0,0,25.06552878,121.43676388
2022-10-16 21:18:00+08,汐止區,汐止區汐止區長江街,2022-10-16 21:18:00~2022-10-17 00:10:00,172.0,0,25.07713768,121.65827328
2022-10-16 21:13:00+08,瑞芳區,瑞芳區瑞芳區瑞八公路、往瑞濱方向，位於「瑞芳隧道」出口處,2022-10-16 21:13:00~2022-10-16 22:10:00,57.0,20.00,25.09587546,121.7709089
2022-10-16 20:48:00+08,淡水區,淡水區中正東路二段38巷37號,2022-10-16 20:48:00~2022-10-16 22:10:00,82.0,20.00,25.15782338,121.45569038
2022-10-16 20:44:00+08,汐止區,汐止區樟樹一路156號,2022-10-16 20:44:00~2022-10-17 00:10:00,206.0,0,25.06562828,121.63975128
2022-10-16 19:56:00+08,蘆洲區,蘆洲區仁愛街35巷17弄3號,2022-10-16 19:56:00~2022-10-16 22:10:00,134.0,0,25.09231138,121.46859118
2022-10-16 19:41:00+08,板橋區,板橋區懷德街64號與80號,2022-10-16 19:41:00~2022-10-16 22:10:00,149.0,0,25.01975909,121.45703355
2022-10-16 19:37:00+08,汐止區,汐止區八連路一段1巷,2022-10-16 19:37:00~2022-10-17 00:10:00,273.0,0,25.07885128,121.64613778
2022-10-16 19:36:00+08,三重區,三重區五華街35巷18號,2022-10-16 19:36:00~2022-10-17 00:00:00,264.0,0,25.08122518,121.49242348
2022-10-16 19:34:00+08,新店區,板橋區板橋區新北環快4.5K至5K,2022-10-16 19:34:00~2022-10-17 00:10:00,276.0,0,25.02531568,121.48183728
2022-10-16 19:21:00+08,瑞芳區,瑞芳區新北市瑞芳區瑞芳街93號,2022-10-16 19:21:00~2022-10-17 00:00:00,279.0,0,25.10957538,121.80344578
2022-10-16 19:18:46+08,貢寮區,德心街10號(德心宮),2022-10-16 19:18:46~2022-10-16 19:30:46,12.0,11.00,25.01574258,121.91624358
2022-10-16 19:17:00+08,五股區,五股區新北市五股區4號越堤道路,2022-10-16 19:17:00~2022-10-17 00:00:00,283.0,0,25.01973674,121.38493175
2022-10-16 19:12:00+08,瑞芳區,瑞芳區新北市瑞芳區,2022-10-16 19:12:00~2022-10-17 00:10:00,298.0,0,25.08906067,121.67274377
2022-10-16 19:05:00+08,汐止區,汐止區樟樹一路231號,2022-10-16 19:05:00~2022-10-17 00:10:00,305.0,0,25.06989018,121.64030408
2022-10-16 19:04:00+08,淡水區,淡水區中正東路二段88巷,2022-10-16 19:04:00~2022-10-17 00:00:00,296.0,0,25.14350528,121.45658978
2022-10-16 18:56:00+08,汐止區,汐止區新北市汐止區康寧街,2022-10-16 18:56:00~2022-10-17 00:10:00,314.0,0,25.07016168,121.63274458
2022-10-16 18:36:00+08,三重區,三重區三和路四段,2022-10-16 18:36:00~2022-10-17 00:10:00,334.0,10.00,25.07697668,121.48364248
2022-10-16 18:33:00+08,蘆洲區,蘆洲區新北市蘆洲區復興路,2022-10-16 18:33:00~2022-10-17 00:10:00,337.0,0,25.08967128,121.47743528
2022-10-16 18:30:00+08,汐止區,汐止區康寧街汐湖二橋,2022-10-16 18:30:00~2022-10-17 00:10:00,340.0,0,25.06153414,121.61656775
2022-10-16 18:28:00+08,蘆洲區,蘆洲區新北市蘆洲區中正路185巷3弄44號前,2022-10-16 18:28:00~2022-10-17 00:10:00,342.0,0,25.08690226,121.46476609
2022-10-16 18:19:00+08,金山區,金山區新北市金山區重和里19號1樓,2022-10-16 18:19:00~2022-10-17 00:10:00,351.0,0,25.0196686,121.302522
2022-10-16 18:18:22+08,三重區,中正北路508巷51號,2022-10-16 18:18:22~2022-10-16 18:48:22,30.0,12.00,25.07019938,121.46995298
2022-10-16 18:16:00+08,蘆洲區,蘆洲區蘆洲區中山二路113巷1之1號,2022-10-16 18:16:00~2022-10-17 00:10:00,354.0,0,25.08288189,121.45898805
2022-10-16 18:13:00+08,五股區,五股區更洲路37號,2022-10-16 18:13:00~2022-10-17 00:10:00,357.0,0,25.07925298,121.45513838
2022-10-16 18:09:00+08,汐止區,汐止區忠孝東路382巷,2022-10-16 18:09:00~2022-10-17 00:10:00,361.0,0,25.07009198,121.66294028
2022-10-16 18:07:00+08,三重區,三重區五華街35巷18號,2022-10-16 18:07:00~2022-10-17 00:00:00,353.0,0,25.08122518,121.49242348
2022-10-16 18:04:00+08,八里區,八里區龍米路一段51號,2022-10-16 18:04:00~2022-10-17 00:10:00,366.0,0,25.11947968,121.45359838
2022-10-16 18:02:00+08,汐止區,汐止區新北市汐止區汐萬路二段,2022-10-16 18:02:00~2022-10-17 00:10:00,368.0,0,25.08561328,121.64530368
2022-10-16 17:59:00+08,蘆洲區,蘆洲區新北市蘆洲區永安北路一段72巷,2022-10-16 17:59:00~2022-10-17 00:10:00,371.0,0,25.07701188,121.47382928
2022-10-16 17:47:00+08,五股區,五股區五股區中興路三段銜接永安大橋的機車道,2022-10-16 17:47:00~2022-10-17 00:00:00,373.0,0,25.07947168,121.44728538
2022-10-16 17:33:42+08,汐止區,新興路47號,2022-10-16 17:33:42~2022-10-16 17:54:42,21.0,34.00,25.05370768,121.48921178
2022-10-16 17:29:00+08,汐止區,汐止區新北市汐止區青山路,2022-10-16 17:29:00~2022-10-17 00:00:00,391.0,0,25.06195438,121.65359628
2022-10-16 17:11:00+08,新莊區,新莊區思源路,2022-10-16 17:11:00~2022-10-17 00:00:00,409.0,0,25.04919688,121.45749058
2022-10-16 16:47:00+08,汐止區,汐止區新北市汐止區大同路一段403巷1號,2022-10-16 16:47:00~2022-10-17 00:00:00,433.0,0,25.06120058,121.63904018
2022-10-16 16:30:00+08,新莊區,新莊區新北市新莊區17號越堤道,2022-10-16 16:30:00~2022-10-16 22:10:00,340.0,0,25.02342368,121.43954338
2022-10-16 16:01:00+08,板橋區,林口區麗園一街4巷1號,2022-10-16 16:01:00~2022-10-16 22:10:00,369.0,10.00,25.07105028,121.37388918
2022-10-16 15:48:00+08,汐止區,汐止區汐止區汐萬路二段200號,2022-10-16 15:48:00~2022-10-16 20:00:00,252.0,0,25.08690358,121.64482718
2022-10-16 15:40:00+08,汐止區,汐止區汐止區汐萬路一段,2022-10-16 15:40:00~2022-10-17 02:30:00,650.0,0,25.07276728,121.64916068
2022-10-16 15:39:00+08,汐止區,汐止區新北市汐止區 汐止往南港路  大同路左側 過舊鐵路隧道(機車道) 約200尺處,2022-10-16 15:39:00~2022-10-17 07:00:00,921.0,0,25.08179468,121.67861718
