"data_time","行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"2021-06-04 14:10:00+08","大安區","臺北市大安區黎孝里005鄰安居街３４巷８號1樓","2021-06-04 14:10:00~2021-06-04 16:50:00","160","10.00"
"2021-06-04 14:10:00+08","大安區","臺北市大安區建倫里010鄰忠孝東路四段２１６巷８弄８號","2021-06-04 14:10:00~2021-06-04 16:50:00","160","10.00"
"2021-06-04 14:09:00+08","大安區","臺北市大安區群賢里003鄰和平東路二段２６５巷３７弄１０號","2021-06-04 14:09:00~2021-06-04 16:50:00","161","10.00"
"2021-06-04 14:08:00+08","南港區","興東街10巷整條巷子","2021-06-04 14:08:00~2021-06-04 16:50:00","162","10.00"
"2021-06-04 14:07:00+08","內湖區","臺北市內湖區湖興里013鄰瑞光路９號至70幾號之間","2021-06-04 14:07:00~2021-06-04 16:50:00","163","10.00"
"2021-06-04 14:06:00+08","信義區","逸仙路42巷巷道內","2021-06-04 14:06:00~2021-06-04 16:40:00","154","10.00"
"2021-06-04 14:06:00+08","南港區","興東街10巷內","2021-06-04 14:06:00~2021-06-04 16:20:00","134","10.00"
"2021-06-04 14:05:00+08","信義區","吳興街284巷 巷內","2021-06-04 14:05:00~2021-06-04 16:40:00","155","10.00"
"2021-06-04 14:04:00+08","文山區","臺北市文山區興光里007鄰興隆路三段４７號","2021-06-04 14:04:00~2021-06-04 16:50:00","166","10.00"
"2021-06-04 14:04:00+08","大安區","臺北市大安區光信里016鄰延吉街２５１號","2021-06-04 14:04:00~2021-06-04 16:50:00","166","10.00"
"2021-06-04 14:04:00+08","文山區","興德路上，興隆路三段至興德路62巷之間","2021-06-04 14:04:00~2021-06-04 16:30:00","146","20.00"
"2021-06-04 14:03:00+08","文山區","木柵路二段-興隆路四段","2021-06-04 14:03:00~2021-06-04 16:20:00","137","10.00"
"2021-06-04 14:02:00+08","信義區","信義路六段-松德路","2021-06-04 14:02:00~2021-06-04 16:50:00","168","10.00"
"2021-06-04 14:01:00+08","信義區","信義路六段15巷(整條)","2021-06-04 14:01:00~2021-06-04 16:50:00","169","30.00"
"2021-06-04 14:01:00+08","信義區","虎林街232巷(整條)","2021-06-04 14:01:00~2021-06-04 16:30:00","149","30.00"
"2021-06-04 14:00:00+08","信義區","臺北市信義區景新里002鄰吳興街２０７號","2021-06-04 14:00:00~2021-06-04 16:30:00","150","20.00"
"2021-06-04 13:59:00+08","南港區","臺北市南港區中南里020鄰市民大道八段５４８號","2021-06-04 13:59:00~2021-06-04 16:30:00","151","30.00"
"2021-06-04 13:59:00+08","大安區","臺北市大安區學府里010鄰基隆路三段１５５巷１０７弄４７號","2021-06-04 13:59:00~2021-06-04 16:30:00","151","20.00"
"2021-06-04 13:59:00+08","內湖區","康寧路三段-安康路交叉口","2021-06-04 13:59:00~2021-06-04 16:20:00","141","10.00"
"2021-06-04 13:57:00+08","信義區","臺北市信義區泰和里001鄰松仁路３０６號","2021-06-04 13:57:00~2021-06-04 16:20:00","143","10.00"
"2021-06-04 13:55:00+08","信義區","臺北市信義區正和里005鄰光復南路４１７巷３７號","2021-06-04 13:55:00~2021-06-04 16:40:00","165","10.00"
"2021-06-04 13:52:00+08","信義區","臺北市信義區泰和里006鄰吳興街５８３巷２弄１９號","2021-06-04 13:52:00~2021-06-04 16:40:00","168","10.00"
"2021-06-04 13:51:00+08","信義區","臺北市信義區廣居里012鄰虎林街１３２巷７１號","2021-06-04 13:51:00~2021-06-04 16:20:00","149","10.00"
