查詢區間:113年01月01日~113年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"新北市萬里區","萬里區新北市萬里區香員林18號之1","2024-10-04 07:07:00 		                  			 ~  		                  				2024-10-04 17:00:00","593","-"
"新北市萬里區","萬里區新北市萬里區中幅里中福19_1號","2024-10-04 06:56:00 		                  			 ~  		                  				2024-10-04 17:10:00","614","-"
"新北市瑞芳區","瑞芳區魚桀魚坑路181號","2024-10-03 16:09:00 		                  			 ~  		                  				2024-10-04 22:59:55","1850","-"
"新北市瑞芳區","瑞芳區新北市瑞芳區逢甲路  平交道附近","2024-10-03 15:02:00 		                  			 ~  		                  				2024-10-04 22:59:55","1917","-"
"新北市瑞芳區","瑞芳區新北市瑞芳區明燈路  往62快速道路","2024-10-03 14:03:00 		                  			 ~  		                  				2024-10-03 20:00:00","357","20.00"
"新北市貢寮區","貢寮區和美街42號","2024-10-03 12:31:00 		                  			 ~  		                  				2024-10-04 22:59:55","2068","-"
"新北市瑞芳區","瑞芳區瑞濱簡易法庭","2024-10-03 10:40:00 		                  			 ~  		                  				2024-10-03 22:00:00","680","-"
"新北市瑞芳區","明燈路二段、明燈路二段85巷口","2024-10-03 09:59:04 		                  			 ~  		                  				2024-10-03 10:09:04","10","12.00"
"新北市瑞芳區","瑞芳區四腳亭坑路6之1號","2024-10-03 09:44:00 		                  			 ~  		                  				2024-10-04 22:59:55","2235","-"
"新北市瑞芳區","瑞芳區大寮路2-3號附近(瑞芳聖祖壇)","2024-10-03 06:34:00 		                  			 ~  		                  				2024-10-03 22:00:00","926","-"
"新北市瑞芳區","新北市瑞八公路(台2丁線12K 新北市瑞八公路(台2丁線12K+023)退水","2024-10-03 05:14:00 		                  			 ~  		                  				2024-10-03 06:20:00","66","-"
"新北市瑞芳區","2024-10-02 22:20:00 		                  			 ~  		                  				2024-10-03 00:50:00","150","-"
"新北市瑞芳區","瑞芳區(經緯:121.79766;25.11998) 參考地址:新北市瑞芳區深澳坑路與基隆市的交界處，實際地址以派遣令地圖為主","2024-10-02 22:14:00 		                  			 ~  		                  				2024-10-03 21:50:00","1416","-"
"新北市瑞芳區","瑞芳區瑞濱路123之3號","2024-10-02 22:02:00 		                  			 ~  		                  				2024-10-03 23:20:00","1518","-"
"新北市瑞芳區","瑞芳區台2丁線12K+230(順樁)","2024-10-02 21:55:00 		                  			 ~  		                  				2024-10-03 00:20:00","145","-"
"新北市瑞芳區","瑞芳區瑞芳街21之1號附近","2024-10-02 21:50:00 		                  			 ~  		                  				2024-10-03 00:20:00","150","-"
"新北市瑞芳區","瑞芳區瑞濱路123之3號","2024-10-02 21:40:00 		                  			 ~  		                  				2024-10-03 23:20:00","1540","-"
"新北市瑞芳區","瑞芳區新北市瑞芳區 瑞濱隧道-台2丁線","2024-10-02 21:36:00 		                  			 ~  		                  				2024-10-03 00:20:00","164","-"
"新北市瑞芳區","2024-10-02 20:34:00 		                  			 ~  		                  				2024-10-03 09:19:06","765","-"
"新北市淡水區","淡金路及商工路口","2024-09-22 22:00:00 		                  			 ~  		                  				2024-09-22 23:50:00","110","-"
"新北市汐止區","南陽街車行地下道","2024-09-22 21:55:00 		                  			 ~  		                  				2024-09-22 23:15:00","80","74.00"
"新北市蘆洲區","仁愛街35巷14弄1號","2024-09-22 20:25:00 		                  			 ~  		                  				2024-09-22 21:05:00","40","12.00"
"新北市五股區","成泰路一段98巷","2024-09-22 20:19:08 		                  			 ~  		                  				2024-09-22 20:29:08","10","18.00"
"新北市蘆洲區","仁愛街212巷24號","2024-09-22 19:45:00 		                  			 ~  		                  				2024-09-22 23:05:00","200","34.00"
"新北市新莊區","新店區中正路與環河路","2024-09-22 15:04:00 		                  			 ~","null","-"
"新北市樹林區","柑園街一段335巷口","2024-09-22 12:30:00 		                  			 ~  		                  				2024-09-22 15:10:00","160","20.00"
"新北市樹林區","佳園路三段145巷30-16號","2024-09-22 12:00:00 		                  			 ~  		                  				2024-09-22 13:30:00","90","20.00"
"新北市新店區","新店區寶慶街6號","2024-09-22 11:59:00 		                  			 ~  		                  				2024-09-22 13:40:00","101","-"
"新北市永和區","國光路35號","2024-09-07 19:20:00 		                  			 ~  		                  				2024-09-07 19:50:00","30","28.00"
