data_time,行政區,位置,淹水期間,淹水時間(分鐘),最高淹水深度(公分),Latitude,Longitude
2023-06-30 16:09:00+08,士林區,延平北路8段91號積淹水,2023-06-30 16:09:00~2023-06-30 20:10:47,241.0,0,25.10583328,121.48130298
2023-06-30 16:00:00+08,士林區,臺北市士林區 中山北路五段福林路交叉口,2023-06-30 16:00:00~2023-06-30 17:10:00,70.0,15.00,25.09510829,121.51562205
2023-06-30 16:00:00+08,士林區,台北市士林區至善路一段,2023-06-30 16:00:00~2023-06-30 17:00:00,60.0,20.00,25.09777748,121.53629668
2023-06-30 15:59:00+08,大同區,赤峰街積淹水,2023-06-30 15:59:00~2023-06-30 20:10:47,251.0,0,25.05582408,121.53073108
2023-06-30 15:57:00+08,士林區,中正路213巷29號,2023-06-30 15:57:00~2023-06-30 20:10:47,253.0,0,25.09453638,121.52420638
2023-06-30 15:56:00+08,萬華區,環河南路2段100巷,2023-06-30 15:56:00~2023-06-30 20:10:47,254.0,0,25.03709813,121.49275043
2023-06-30 15:49:00+08,大同區,重慶北路3段135號積淹水,2023-06-30 15:49:00~2023-06-30 20:10:47,261.0,0,25.06700889,121.50348665
2023-06-30 15:46:00+08,士林區,大南路350巷13號積淹水,2023-06-30 15:46:00~2023-06-30 20:10:47,264.0,0,25.09107889,121.51173275
2023-06-30 15:45:00+08,士林區,至善路2段積淹水,2023-06-30 15:45:00~2023-06-30 20:10:47,265.0,0,24.44541672,120.53766051
2023-06-30 15:42:00+08,士林區,延平北路7段106巷349號積淹水延平北路7段42之7號（暫時門牌）,2023-06-30 15:42:00~2023-06-30 20:10:47,268.0,0,25.10821528,121.49292028
2023-06-30 15:41:00+08,士林區,延平北路6段157號積淹水,2023-06-30 15:41:00~2023-06-30 20:10:47,269.0,0,25.01973674,121.38493175
2023-06-30 15:39:00+08,士林區,中正路223巷,2023-06-30 15:39:00~2023-06-30 20:10:47,271.0,0,25.03548158,121.44821578
2023-06-30 15:38:00+08,北投區,自強街5巷165號1樓,2023-06-30 15:38:00~2023-06-30 20:10:47,272.0,0,25.11283918,121.50775618
2023-06-30 15:38:00+08,萬華區,廣州街211號-艋舺龍山寺,2023-06-30 15:38:00~2023-06-30 20:10:47,272.0,0,25.03731058,121.49729048
2023-06-30 15:36:00+08,北投區,七星街中山路口,2023-06-30 15:36:00~2023-06-30 20:10:47,274.0,0,25.13699978,121.50254718
2023-06-30 15:35:00+08,萬華區,峨眉街38號,2023-06-30 15:35:00~2023-06-30 20:10:47,275.0,0,25.04359988,121.50528428
2023-06-30 15:30:00+08,士林區,中山北路6段185號,2023-06-30 15:30:00~2023-06-30 20:10:47,280.0,0,25.10765528,121.52231438
2023-06-30 15:29:00+08,中山區,康樂里林森公園,2023-06-30 15:29:00~2023-06-30 20:10:47,281.0,0,25.05279288,121.52294858
2023-06-30 15:27:00+08,士林區,延平北路5段積淹水,2023-06-30 15:27:00~2023-06-30 20:10:47,283.0,0,25.10582928,121.47516198
2023-06-30 15:27:00+08,士林區,中正路212巷1弄,2023-06-30 15:27:00~2023-06-30 20:10:47,283.0,0,25.09658593,121.52347223
2023-06-30 15:26:00+08,萬華區,大理街積淹水,2023-06-30 15:26:00~2023-06-30 20:10:47,284.0,0,25.03084978,121.48611068
2023-06-30 15:24:00+08,信義區,中山北路2段120號中山北路2段-錦西街積淹水,2023-06-30 15:24:00~2023-06-30 20:10:47,286.0,0,25.05727586,121.51813499
2023-06-30 15:24:00+08,中山區,北安路47號積淹水,2023-06-30 15:24:00~2023-06-30 20:10:47,286.0,0,25.07773858,121.52554348
2023-06-30 15:22:00+08,中山區,北安路139號(忠烈祠)北安路忠烈祠,2023-06-30 15:22:00~2023-06-30 20:10:47,288.0,0,25.07941148,121.53038068
2023-06-30 15:18:00+08,士林區,中正路235巷,2023-06-30 15:18:00~2023-06-30 20:10:47,292.0,0,25.09418278,121.52371918
2023-06-30 15:17:00+08,中山區,中山北路錦西街口積淹水,2023-06-30 15:17:00~2023-06-30 20:10:47,293.0,0,25.06078498,121.52780508
2023-06-23 17:03:00+08,大安區,臺北市大安區仁愛路4段300巷25弄3號前,2023-06-23 17:03:00~2023-06-23 19:40:49,157.0,0,25.03681971,121.54819479
2023-06-23 16:50:00+08,中正區,三元街262號~268號,2023-06-23 16:50:00~2023-06-23 19:40:49,170.0,0,25.02730748,121.51122228
2023-06-23 16:07:00+08,中正區,濟南路一段,2023-06-23 16:07:00~2023-06-23 19:40:49,213.0,0,25.04245018,121.52006118
2023-06-23 16:00:00+08,中山區,錦西街1號,2023-06-23 16:00:00~2023-06-23 19:40:49,220.0,0,25.06039918,121.51975508
2023-06-23 15:44:00+08,萬華區,西園國小,2023-06-23 15:44:00~2023-06-23 19:40:49,236.0,0,25.02677628,121.49576298
2023-06-23 15:42:00+08,文山區,興德路66巷,2023-06-23 15:42:00~2023-06-23 19:40:49,238.0,0,25.00359408,121.55560818
2023-06-23 15:38:00+08,大安區,新生南路三段88號,2023-06-23 15:38:00~2023-06-23 19:40:49,242.0,0,25.01825588,121.53079318
2023-06-23 15:25:00+08,萬華區,西園路二段52巷,2023-06-23 15:25:00~2023-06-23 19:40:49,255.0,0,25.03178843,121.49410668
2024-10-31 18:06:00+08,北投區,石牌路2段362號,2024-10-31 18:06:00~2024-11-01 23:49:10,1783.0,0,25.12352138,121.52298748
2024-10-31 17:25:00+08,內湖區,民權東路6段-成功路2段民權東路6段101號,2024-10-31 17:25:00~2024-10-31 18:50:00,85.0,0,25.06927448,121.58702488
2024-10-31 12:57:00+08,南港區,南港路1段75號,2024-10-31 12:57:00~2024-11-01 23:49:10,2092.0,0,25.05512308,121.61297678
2024-10-31 12:56:00+08,北投區,承德路7段401巷171號　洲美橋下籃球場,2024-10-31 12:56:00~2024-10-31 16:40:00,224.0,0,25.01973674,121.38493175
2024-10-31 12:36:00+08,文山區,萬芳路26巷、26巷5號,2024-10-31 12:36:00~2024-11-01 23:49:10,2113.0,0,24.99542968,121.56664118
2024-10-31 11:43:00+08,士林區,中山北路6段172巷16弄8號,2024-10-31 11:43:00~2024-10-31 17:00:00,317.0,0,25.10715618,121.52328678
2024-10-31 11:02:00+08,士林區,中山北路7段14巷65弄2號,2024-10-31 11:02:00~2024-11-01 23:49:10,2207.0,0,25.12183718,121.53221488
