data_time,行政區,位置,淹水期間,淹水時間(分鐘),最高淹水深度(公分),Latitude,Longitude
2024-09-22 12:30:00+08,海山,柑園街一段335巷口,2024-09-22 12:30:00~2024-09-22 15:10:00,160.0,20.00,25.01973674,121.38493175
2024-09-22 12:00:00+08,海山,佳園路三段145巷30-16號,2024-09-22 12:00:00~2024-09-22 13:30:00,90.0,20.00,24.94893128,121.38574388
2024-09-22 11:59:00+08,中和以南,新店區寶慶街6號,2024-09-22 11:59:00~2024-09-22 13:40:00,101.0,0,24.98696958,121.54112148
2024-09-07 19:20:00+08,中和以南,國光路35號,2024-09-07 19:20:00~2024-09-07 19:50:00,30.0,28.00,25.01810838,121.45661128
2024-08-23 14:30:00+08,中和以南,國光路35號,2024-08-23 14:30:00~2024-08-23 15:15:00,45.0,30.00,25.01810838,121.45661128
2024-08-20 16:38:04+08,三重以西,成泰路一段98巷,2024-08-20 16:38:04~2024-08-20 17:49:04,71.0,41.00,25.07135946,121.43539369
2024-08-15 15:24:04+08,三重以西,成泰路一段98巷,2024-08-15 15:24:04~2024-08-15 15:41:04,17.0,19.00,25.07135946,121.43539369
2024-08-15 15:20:00+08,三重以西,幸福路834號,2024-08-15 15:20:00~2024-08-15 15:40:00,20.0,13.00,25.04914128,121.44270408
2024-08-14 13:50:00+08,三重以西,新泰路82號,2024-08-14 13:50:00~2024-08-14 14:15:00,25.0,17.00,25.03515818,121.44648378
2024-08-09 13:15:00+08,中和以南,國光路35號,2024-08-09 13:15:00~2024-08-09 13:25:00,10.0,13.00,25.01810838,121.45661128
2024-07-24 17:15:00+08,中和以南,新店區寶高路120巷5弄2號,2024-07-24 17:15:00~2024-07-24 18:20:00,65.0,0,24.97531388,121.55216758
2024-07-02 15:10:00+08,海山,樹林區柑園街一段335巷口,2024-07-02 15:10:00~2024-07-02 16:10:00,60.0,9.00,25.01973674,121.38493175
2024-07-02 15:10:00+08,中和以南,新北市新店區永業路81巷路口,2024-07-02 15:10:00~2024-07-02 16:10:00,60.0,10.00,24.95236681,121.52680464
2024-07-02 15:10:00+08,中和以南,新北市新店區 安平路高速公路涵洞,2024-07-02 15:10:00~2024-07-02 15:30:00,20.0,10.00,24.95620978,121.53341143
2024-07-02 15:10:00+08,海山,三峽區大學路及學勤路口,2024-07-02 15:10:00~2024-07-02 15:30:00,20.0,10.00,24.94613458,121.37116408
2024-07-02 15:10:00+08,海山,樹林區佳園路三段145巷30-16號,2024-07-02 15:10:00~2024-07-02 15:30:00,20.0,10.00,24.94893128,121.38574388
2024-07-02 15:10:00+08,中和以南,新店區新烏路二段廣興,2024-07-02 15:10:00~2024-07-02 15:20:00,10.0,10.00,24.91338854,121.51431248
2024-06-28 16:13:00+08,中和以南,新北市 中和區 華新街,2024-06-28 16:13:00~2024-06-28 16:29:00,16.0,10.00,24.98379438,121.50562118
2024-06-28 15:50:00+08,海山,新北市 土城區 永豐路,2024-06-28 15:50:00~2024-06-28 16:40:00,50.0,10.00,24.97960718,121.46652318
2024-06-24 15:10:00+08,中和以南,國光路35號,2024-06-24 15:10:00~2024-06-24 15:30:00,20.0,18.00,25.01810838,121.45661128
2024-06-24 15:00:00+08,中和以南,新北市新店區安平路,2024-06-24 15:00:00~2024-06-24 15:30:00,30.0,10.00,24.96672098,121.51871288
2024-06-23 16:00:00+08,海山,新北市土城區永豐路,2024-06-23 16:00:00~2024-06-23 16:30:00,30.0,10.00,24.97960718,121.46652318
2024-06-21 15:00:04+08,中和以南,林森路65號,2024-06-21 15:00:04~2024-06-21 16:54:16,114.0,19.00,25.02621413,121.50390923
2024-04-18 07:30:00+08,汐止以東,新北勢汐止區崇德里,2024-04-18 07:30:00~2024-04-18 09:20:00,110.0,70.00,25.05859328,121.65180863
